config,n,params_M,acc_id_val,macro_f1_id_val,ece_id_val,mean_conf_id_val,agreement_id_val,acc_val,macro_f1_val,ece_val,mean_conf_val,agreement_val,acc_test,macro_f1_test,ece_test,mean_conf_test,agreement_test,acc_id_val_std,macro_f1_id_val_std,ece_id_val_std,mean_conf_id_val_std,acc_val_std,macro_f1_val_std,ece_val_std,mean_conf_val_std,acc_test_std,macro_f1_test_std,ece_test_std,mean_conf_test_std
teacher_resnet50,1,23.51213,0.9816746115684509,,0.0033907140605151653,0.984684407711029,,0.8464932441711426,,0.08965474367141724,0.9361481070518494,,0.8359395265579224,,0.11180907487869263,0.9476650357246399,,,,,,,,,,,,,
teacher_resnet50_strong,1,23.51213,0.9730333685874939,,0.0028339263517409563,0.972322404384613,,0.9210405945777893,,0.026308059692382812,0.9473486542701721,,0.9444823265075684,,0.014700639992952347,0.9591829180717468,,,,,,,,,,,,,
student_mnv3s_scratch_aug_v2,3,1.519906,0.9742649992307028,0.9742575061860185,0.0017749171626443665,0.9751886129379272,,0.8966212073961893,0.8962727482280056,0.0526139996945858,0.9491176009178162,,0.8981039524078369,0.8974616428450384,0.04509252061446508,0.9431965152422587,,0.0010306546356389226,0.0010333817065115334,0.0008049944686281833,0.00043645334166125685,0.010061715875168473,0.01031281230880468,0.007934802479995185,0.0023537563299039143,0.025232266654016264,0.025663080283054307,0.023733183993078232,0.0015845187336834203
student_mnv3s_scratch_v2,3,1.519906,0.9876837531725565,0.9876820783092328,0.0029218281464030347,0.989973763624827,,0.5706986983617147,0.5437210347403862,0.36922263105710346,0.9397429823875427,,0.5777662793795267,0.5051218143561603,0.36661988496780396,0.9443211555480957,,0.00041855874763127744,0.0004190143065929554,0.00021431805380966556,0.00021675871645316657,0.021447478069185573,0.02941382252730113,0.01931714045142266,0.0075657234742444,0.01944966284886509,0.03538790604046289,0.011663200837841921,0.008776641332895819
student_mnv3s_kd_strongT_aug_v2,3,1.519906,0.9688120683034261,0.9688021767316622,0.004924108895162742,0.9736417333285013,0.9762713511784872,0.9028669198354086,0.9025983788999778,0.05235653246442477,0.9551660021146139,0.9265413681666056,0.9206151564915975,0.9203617633803951,0.040429813166459404,0.96104496717453,0.933293342590332,0.0012366175699432293,0.0012380553894222972,0.0010753875466820893,0.00018614756091358677,0.003400349495688217,0.003487495649186953,0.002722610266313795,0.0005804530946729721,0.0042172165221944675,0.004293920206184477,0.004975565307324579,0.0015229157539705085
student_mnv3s_kd_strongT_v2,3,1.519906,0.9781783819198608,0.9781706470934545,0.0026456282939761877,0.9772163232167562,0.9807508786519369,0.8118171890576681,0.8092426879221168,0.11611289530992508,0.9276355703671774,0.8346321185429891,0.7693739533424377,0.7589412219401063,0.17487248281637827,0.9442464113235474,0.7898354927698771,0.0008281092571160796,0.0008292751226913868,0.00039342705831049425,0.0005618782709382156,0.017077788829616213,0.018637285263674128,0.017962666790224395,0.0047157279001994465,0.02415368074957913,0.028098596835467258,0.022584818077567112,0.004377196448768979
student_mnv3s_kd_v2,3,1.519906,0.9827771186828613,0.9827724370869196,0.004582793917506933,0.987250566482544,0.9867302378018697,0.6017266313234965,0.5886606287379705,0.31200462579727173,0.9137312968571981,0.6955363353093466,0.7204246719678243,0.7039000967497874,0.22100080053011575,0.9414254426956177,0.8443812131881714,0.0013422219760047982,0.00134240139746685,0.0004339063105219039,0.0008251653848018671,0.0460225311275466,0.05460494392442369,0.05639977606286186,0.010387146547762481,0.01075855714800549,0.010649216054025865,0.010550554092140703,0.00862108347671049
student_mnv3s_dkd_strongT_aug_v2,3,1.519906,0.9696861306826273,0.9696765987620753,0.0037078334329028926,0.972702165444692,0.9755264321962992,0.8989036480585734,0.898523814844349,0.052068172643582024,0.9505930542945862,0.9189395705858866,0.9022542436917623,0.9017161731512228,0.05197714517513911,0.9541781544685364,0.9174054066340128,0.0035294975305327375,0.003529655196887184,0.0017479766337205372,0.0020277916647884354,0.006718676427251855,0.006774364901214331,0.00502758649792729,0.0019908230709640025,0.0072418164932631455,0.007238495045860108,0.004849012484281494,0.00726102659084346
student_mnv3s_dkd_strongT_v2,3,1.519906,0.9811084866523743,0.9811027946953655,0.004151097188393275,0.978031575679779,0.9789431889851888,0.7341947555541992,0.7252073956889831,0.16469875971476236,0.898138165473938,0.7573439478874207,0.6985757946968079,0.67930084419642,0.2310876945654551,0.9296633998552958,0.716595729192098,0.002172756120801279,0.002173926110610704,0.0011080244165126213,0.0009397403185460749,0.0690538991702369,0.07853835392120294,0.06869566833880293,0.010778898022963446,0.008112273366713928,0.011168829630641367,0.00785608972683639,0.004847797370282154
student_mnv3s_dkd_v2,3,1.519906,0.9849721789360046,0.9849688227432861,0.002641071293813487,0.9873483975728353,0.9863627354303995,0.5802486936251322,0.5565650759234279,0.34671371181805927,0.9269623557726542,0.6662178238232931,0.6797955830891927,0.6653188579195993,0.25154967109362286,0.9313452243804932,0.7948283950487772,0.0011158208862083294,0.0011165364801661746,0.0011609684400719791,0.00014102187295810185,0.03539204502433426,0.04781057834907175,0.03742070572048472,0.011039952892312068,0.07330497796911571,0.07056565415300098,0.056981137544887366,0.016328204777979013
student_mnv3s_feat_std_v2,1,1.519906,0.9886174201965332,0.9886158484632315,0.002265320159494877,0.9903430938720703,0.9845053553581238,0.6147146224975586,0.587221568702603,0.32801663875579834,0.9427313208580017,0.6713270545005798,0.6409575343132019,0.6053627193312678,0.28794485330581665,0.9289023280143738,0.7663366794586182,,,,,,,,,,,,
