pair,model,acc_clean,acc_corr,ece_clean,ece_corr,conf_clean,conf_corr,agree_corr
wrn_40_2 -> resnet20,scratch,0.6897,0.4181,0.0751,0.2335,,,0.5129
wrn_40_2 -> resnet20,KD T=1,0.6881,0.4185,0.0534,0.2053,,,0.5111
wrn_40_2 -> resnet20,KD T=4,0.6911,0.4259,0.1521,0.3352,,,0.5318
wrn_40_2 -> resnet20,DKD,0.7094,0.439,0.076,0.2397,,,0.5632
wrn_40_2 -> resnet20,DKD NCKD seul,0.6876,0.4195,0.0302,0.1822,0.715,0.6014,0.5515
wrn_40_2 -> resnet20,DKD TCKD seul,0.6613,0.3931,0.1263,0.3266,0.7876,0.7197,0.4906
wrn_40_2 -> resnet20,teacher,0.7608,0.4759,0.1087,0.2899,,,1.0
resnet32x4 -> resnet8x4,scratch,0.7197,0.428,0.0744,0.2322,0.7941,0.6603,0.5108
resnet32x4 -> resnet8x4,KD T=1,0.7169,0.4188,0.0853,0.2552,0.8021,0.6739,0.5153
resnet32x4 -> resnet8x4,KD T=4,0.7322,0.4269,0.1124,0.3141,0.8444,0.7409,0.535
resnet32x4 -> resnet8x4,DKD,0.7536,0.4569,0.0522,0.2072,0.7986,0.6618,0.5786
resnet32x4 -> resnet8x4,DKD NCKD seul,0.7474,0.4512,0.0505,0.1114,0.6976,0.5207,0.5792
resnet32x4 -> resnet8x4,DKD TCKD seul,0.6782,0.3761,0.1131,0.3393,0.7912,0.7154,0.4756
resnet32x4 -> resnet8x4,teacher,0.7822,0.5026,0.0883,0.2525,0.8705,0.7549,1.0
wrn_40_2 -> wrn_16_2,scratch,0.7265,0.4466,0.0866,0.2446,0.8131,0.6912,0.5428
wrn_40_2 -> wrn_16_2,KD T=1,0.7309,0.4494,0.0762,0.2246,0.8067,0.674,0.5409
wrn_40_2 -> wrn_16_2,KD T=4,0.742,0.4642,0.1248,0.3095,0.8666,0.7736,0.587
wrn_40_2 -> wrn_16_2,DKD,0.7479,0.4695,0.084,0.2449,0.8317,0.7144,0.6087
wrn_40_2 -> wrn_16_2,teacher,0.7608,0.4759,0.1087,0.2899,,,1.0
