config,severity,n,acc_mean,ece_mean,agreement_mean,acc_std,ece_std,agreement_std
student_resnet20_dkd,0,3,0.7044333418210348,0.07961475352446233,0.7415999968846639,0.004315467012116366,0.0030925475703301496,0.0035510604819229373
student_resnet20_dkd,1,3,0.5766894738925131,0.14779429529842575,0.6425210514612365,0.002895853897438396,0.00017077578085730624,0.002757125512992085
student_resnet20_dkd,2,3,0.4930684161290788,0.19640914559887165,0.5867859684584433,0.002362806816210491,0.0012823292390540914,0.0039201235188499675
student_resnet20_dkd,3,3,0.4421070172337063,0.23118776056850163,0.556901755040152,0.002160856092528919,0.002085269708577709,0.005798714224440306
student_resnet20_dkd,4,3,0.3819105277458827,0.27654871932770075,0.5250315770768282,0.001410381551292535,0.004042750136590035,0.006849792285185551
student_resnet20_dkd,5,3,0.2930929849022313,0.3375846576272395,0.47523333184551775,0.001153872873600731,0.0035725677460562324,0.009499028090039939
student_resnet20_kd,0,3,0.6914000113805135,0.15268889069557187,0.7233000000317892,0.0006999926908754651,0.001079085101487573,0.001113555664528077
student_resnet20_kd,1,3,0.566463158318871,0.23275210695308546,0.624040354762161,0.002164124421462178,0.004360479410521488,0.001442471745211756
student_resnet20_kd,2,3,0.4835666666428248,0.2883655434114891,0.5638017565534826,0.003725432422009253,0.006486871016713753,0.002679356198178098
student_resnet20_kd,3,3,0.4327982439283739,0.32596097625138465,0.5286824562047657,0.004529754816954563,0.008202174690296715,0.007214433461030834
student_resnet20_kd,4,3,0.3732982475245208,0.37333223040689506,0.49154386159620783,0.004054369203975319,0.009386127278474257,0.008828459007322103
student_resnet20_kd,5,3,0.2868543873099904,0.4401800825930478,0.43918421132522717,0.004153912818250444,0.011732697809835359,0.015109577331403477
student_resnet20_scratch,0,3,0.6901666720708212,0.0686260933677355,0.7116000056266785,0.0005033150261734758,0.007832871060533765,0.0017058827435931258
student_resnet20_scratch,1,3,0.5590473664434333,0.13677626645617313,0.6020456149912717,0.0048618333160157,0.011130845002798076,0.0016152524737703257
student_resnet20_scratch,2,3,0.4737982444073025,0.18546856782938304,0.5393894743501094,0.004900058929329812,0.014005228471082857,0.003075357780765353
student_resnet20_scratch,3,3,0.4212631540078866,0.21875678656394018,0.5072157890127417,0.0052859355633056515,0.016554314676856398,0.004217126675769881
student_resnet20_scratch,4,3,0.36105614064032565,0.2622402953474145,0.47559298130503874,0.00639821282947909,0.018717244703340317,0.0043941055097720385
student_resnet20_scratch,5,3,0.2719771937842954,0.32579748750778664,0.4289192983455825,0.006741547830568567,0.021740618241373286,0.0065085101047257675
teacher_wrn40_2,0,1,0.7608000040054321,0.1087023615837097,1.0,,,
teacher_wrn40_2,1,1,0.6225368427602869,0.19128290642248952,1.0,,,
teacher_wrn40_2,2,1,0.5355684216085234,0.2468184413094269,1.0,,,
teacher_wrn40_2,3,1,0.4813578936614488,0.2848982446287808,1.0,,,
teacher_wrn40_2,4,1,0.4187631603134306,0.3287102940835451,1.0,,,
teacher_wrn40_2,5,1,0.3213526296772454,0.3977584760440023,1.0,,,
