run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd,resnet20,dkd,clean,0,0.7093999981880188,0.07604461908340454,1.0964008569717407,0.40972641110420227,0.7457000017166138,0.6382644772529602,0.3908862769603729
student_resnet20_kd,resnet20,kd,clean,0,0.691100001335144,0.1521054208278656,1.3292421102523804,0.4570874571800232,0.7245000004768372,0.8895642757415771,0.3566053509712219
student_resnet20_scratch,resnet20,none,clean,0,0.6897000074386597,0.07514536380767822,1.1334741115570068,0.4204103946685791,0.7102000117301941,0.7838678359985352,0.3244147300720215
teacher_wrn40_2,wrn_40_2,none,clean,0,0.7608000040054321,0.10870236158370972,1.0607861280441284,0.35792848467826843,1.0,3.421816996418414e-10,1.0
student_resnet20_dkd,resnet20,dkd,gaussian_noise,1,0.35899999737739563,0.2726448178291321,3.3546807765960693,0.8836074471473694,0.5037000179290771,1.2757636308670044,0.36857956647872925
student_resnet20_kd,resnet20,kd,gaussian_noise,1,0.34929999709129333,0.38078993558883667,4.228601932525635,0.980857253074646,0.46939998865127563,1.8909645080566406,0.33126986026763916
student_resnet20_scratch,resnet20,none,gaussian_noise,1,0.34279999136924744,0.2723681926727295,3.3690829277038574,0.8870751261711121,0.43939998745918274,1.678083062171936,0.2934582531452179
teacher_wrn40_2,wrn_40_2,none,gaussian_noise,1,0.40230000019073486,0.34091949462890625,3.658905029296875,0.9014400243759155,1.0,1.7071968283488559e-09,1.0
student_resnet20_dkd,resnet20,dkd,gaussian_noise,2,0.1889999955892563,0.43027159571647644,5.455151081085205,1.151189923286438,0.4668999910354614,1.4009089469909668,0.4269457161426544
student_resnet20_kd,resnet20,kd,gaussian_noise,2,0.18870000541210175,0.5225228667259216,6.941765785217285,1.2489279508590698,0.39160001277923584,2.2294669151306152,0.3332897424697876
student_resnet20_scratch,resnet20,none,gaussian_noise,2,0.20200000703334808,0.37980741262435913,5.13509464263916,1.0955277681350708,0.3781000077724457,1.8538662195205688,0.3122302293777466
teacher_wrn40_2,wrn_40_2,none,gaussian_noise,2,0.23549999296665192,0.4849989116191864,5.8323893547058105,1.1786508560180664,1.0,1.9437325082805046e-09,1.0
student_resnet20_dkd,resnet20,dkd,gaussian_noise,3,0.11060000211000443,0.5201540589332581,7.281766414642334,1.301719307899475,0.4596000015735626,1.5002644062042236,0.4455004036426544
student_resnet20_kd,resnet20,kd,gaussian_noise,3,0.10750000178813934,0.6166198253631592,9.233957290649414,1.4147142171859741,0.35510000586509705,2.5320615768432617,0.32605889439582825
student_resnet20_scratch,resnet20,none,gaussian_noise,3,0.1234000027179718,0.46537166833877563,6.8084397315979,1.2326931953430176,0.4074000120162964,1.8170385360717773,0.3847236931324005
teacher_wrn40_2,wrn_40_2,none,gaussian_noise,3,0.1476999968290329,0.5729141235351562,7.401706218719482,1.335526466369629,1.0,2.5326689634397326e-09,1.0
student_resnet20_dkd,resnet20,dkd,gaussian_noise,4,0.08640000224113464,0.5456278324127197,8.006957054138184,1.3435386419296265,0.4528999924659729,1.5325102806091309,0.4467405080795288
student_resnet20_kd,resnet20,kd,gaussian_noise,4,0.08479999750852585,0.6512612104415894,10.090323448181152,1.4697861671447754,0.3310000002384186,2.6228432655334473,0.3111085593700409
student_resnet20_scratch,resnet20,none,gaussian_noise,4,0.10080000013113022,0.5028316974639893,7.615323543548584,1.2862811088562012,0.4323999881744385,1.7559740543365479,0.4175134003162384
teacher_wrn40_2,wrn_40_2,none,gaussian_noise,4,0.12409999966621399,0.58497554063797,7.883472442626953,1.369074821472168,1.0,2.345272420711808e-09,1.0
student_resnet20_dkd,resnet20,dkd,gaussian_noise,5,0.07100000232458115,0.5650332570075989,8.590991020202637,1.376314401626587,0.46070000529289246,1.5776522159576416,0.4591461420059204
student_resnet20_kd,resnet20,kd,gaussian_noise,5,0.06809999793767929,0.6754404306411743,10.753005027770996,1.5105571746826172,0.3260999917984009,2.6707379817962646,0.3115594685077667
student_resnet20_scratch,resnet20,none,gaussian_noise,5,0.0803999975323677,0.5386242270469666,8.311503410339355,1.3391791582107544,0.45719999074935913,1.7414861917495728,0.45178911089897156
teacher_wrn40_2,wrn_40_2,none,gaussian_noise,5,0.10289999842643738,0.607862114906311,8.252593994140625,1.4057459831237793,1.0,1.959016948660519e-09,1.0
student_resnet20_dkd,resnet20,dkd,shot_noise,1,0.4681999981403351,0.20144543051719666,2.468416690826416,0.7343595623970032,0.5580999851226807,1.1356253623962402,0.3550295829772949
student_resnet20_kd,resnet20,kd,shot_noise,1,0.46129998564720154,0.3028669059276581,3.076328992843628,0.8120170831680298,0.5378000140190125,1.6642531156539917,0.32911649346351624
student_resnet20_scratch,resnet20,none,shot_noise,1,0.44670000672340393,0.20854946970939636,2.5741045475006104,0.7540279626846313,0.5076000094413757,1.4772326946258545,0.2962660789489746
teacher_wrn40_2,wrn_40_2,none,shot_noise,1,0.5098999738693237,0.25947409868240356,2.6305294036865234,0.7268721461296082,1.0,1.1514051934113922e-09,1.0
student_resnet20_dkd,resnet20,dkd,shot_noise,2,0.3384000062942505,0.29755374789237976,3.5311717987060547,0.9175040125846863,0.5060999989509583,1.2954189777374268,0.3931347131729126
student_resnet20_kd,resnet20,kd,shot_noise,2,0.33219999074935913,0.4008581340312958,4.494175434112549,1.0112580060958862,0.46380001306533813,1.9244986772537231,0.3333873152732849
student_resnet20_scratch,resnet20,none,shot_noise,2,0.3330000042915344,0.28073474764823914,3.52976131439209,0.9094405174255371,0.42820000648498535,1.767540454864502,0.2852979302406311
teacher_wrn40_2,wrn_40_2,none,shot_noise,2,0.3824000060558319,0.3617238402366638,3.8876984119415283,0.9360844492912292,1.0,1.307436492403724e-09,1.0
student_resnet20_dkd,resnet20,dkd,shot_noise,3,0.16920000314712524,0.4674298167228699,5.918944358825684,1.2093863487243652,0.49239999055862427,1.3701456785202026,0.4678311049938202
student_resnet20_kd,resnet20,kd,shot_noise,3,0.16179999709129333,0.5597917437553406,7.744168758392334,1.3155111074447632,0.39820000529289246,2.2665839195251465,0.35373207926750183
student_resnet20_scratch,resnet20,none,shot_noise,3,0.17430000007152557,0.41144701838493347,5.608634948730469,1.1437941789627075,0.3962000012397766,1.8234730958938599,0.3493340015411377
teacher_wrn40_2,wrn_40_2,none,shot_noise,3,0.20419999957084656,0.5278079509735107,6.391646862030029,1.2463899850845337,1.0,1.2793406334310475e-09,1.0
student_resnet20_dkd,resnet20,dkd,shot_noise,4,0.12330000102519989,0.5204318761825562,6.871849060058594,1.295832872390747,0.5029000043869019,1.372915506362915,0.4925302267074585
student_resnet20_kd,resnet20,kd,shot_noise,4,0.11990000307559967,0.6102341413497925,8.918421745300293,1.4007271528244019,0.3864000141620636,2.326524496078491,0.3573630452156067
student_resnet20_scratch,resnet20,none,shot_noise,4,0.13249999284744263,0.4673070013523102,6.526439666748047,1.2278872728347778,0.43320000171661377,1.737917423248291,0.4143941104412079
teacher_wrn40_2,wrn_40_2,none,shot_noise,4,0.1565999984741211,0.5826514959335327,7.263864994049072,1.3444269895553589,1.0,1.8676553636964854e-09,1.0
student_resnet20_dkd,resnet20,dkd,shot_noise,5,0.08030000329017639,0.5696362257003784,8.103779792785645,1.3742666244506836,0.5123999714851379,1.4403843879699707,0.5140702128410339
student_resnet20_kd,resnet20,kd,shot_noise,5,0.07900000363588333,0.6641445159912109,10.276861190795898,1.491825819015503,0.37229999899864197,2.4203803539276123,0.3565961420536041
student_resnet20_scratch,resnet20,none,shot_noise,5,0.09179999679327011,0.5424761176109314,7.928943157196045,1.3365551233291626,0.4921000003814697,1.6479088068008423,0.4882935583591461
teacher_wrn40_2,wrn_40_2,none,shot_noise,5,0.11159999668598175,0.6272516846656799,8.19001579284668,1.425898790359497,1.0,9.634575359740438e-10,1.0
student_resnet20_dkd,resnet20,dkd,impulse_noise,1,0.5338000059127808,0.1395454853773117,1.9105329513549805,0.6248094439506531,0.5637999773025513,1.1723381280899048,0.2975206673145294
student_resnet20_kd,resnet20,kd,impulse_noise,1,0.5070000290870667,0.2516913414001465,2.5080885887145996,0.7215153574943542,0.5501000285148621,1.6168787479400635,0.3003479838371277
student_resnet20_scratch,resnet20,none,impulse_noise,1,0.49239999055862427,0.13931788504123688,2.1515488624572754,0.6727566719055176,0.508899986743927,1.4494671821594238,0.24728143215179443
teacher_wrn40_2,wrn_40_2,none,impulse_noise,1,0.5401999950408936,0.22128042578697205,2.3159260749816895,0.6710626482963562,1.0,1.0586092002995429e-09,1.0
student_resnet20_dkd,resnet20,dkd,impulse_noise,2,0.3643999993801117,0.2334350347518921,2.994823932647705,0.8435812592506409,0.4291999936103821,1.601691484451294,0.27362266182899475
student_resnet20_kd,resnet20,kd,impulse_noise,2,0.32679998874664307,0.37376269698143005,4.055112838745117,0.9892234206199646,0.4205000102519989,2.1501221656799316,0.2860880196094513
