run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_kd_ce05,resnet20,kd,clean,0,0.7027000188827515,0.1231769472360611,1.2142736911773682,0.43212342262268066,0.7337999939918518,0.805892288684845,0.36580267548561096
student_resnet20_kd_T8,resnet20,kd,clean,0,0.6947000026702881,0.1338537484407425,1.2296674251556396,0.4400250017642975,0.7311999797821045,0.7975689172744751,0.3745819330215454
student_resnet20_kd_ce05,resnet20,kd,gaussian_noise,1,0.34700000286102295,0.35943329334259033,3.9460413455963135,0.9558688402175903,0.47200000286102295,1.7843519449234009,0.32976409792900085
student_resnet20_kd_T8,resnet20,kd,gaussian_noise,1,0.3237999975681305,0.36272168159484863,4.0076518058776855,0.975338876247406,0.48089998960494995,1.5935226678848267,0.36924877762794495
student_resnet20_kd_ce05,resnet20,kd,gaussian_noise,2,0.19140000641345978,0.4888530969619751,6.401484489440918,1.210913062095642,0.3840000033378601,2.075453281402588,0.3225637674331665
student_resnet20_kd_T8,resnet20,kd,gaussian_noise,2,0.17820000648498535,0.4890620708465576,6.439334869384766,1.226445198059082,0.4043999910354614,1.90726637840271,0.3550032675266266
student_resnet20_kd_ce05,resnet20,kd,gaussian_noise,3,0.1143999993801117,0.5517427325248718,8.213865280151367,1.3367160558700562,0.3384000062942505,2.217470407485962,0.3066995143890381
student_resnet20_kd_T8,resnet20,kd,gaussian_noise,3,0.10729999840259552,0.5501428246498108,8.006471633911133,1.338326334953308,0.3458000123500824,2.1176917552948,0.31620320677757263
student_resnet20_kd_ce05,resnet20,kd,gaussian_noise,4,0.09459999948740005,0.5592140555381775,8.740668296813965,1.3558266162872314,0.3190999925136566,2.217064619064331,0.29169997572898865
student_resnet20_kd_T8,resnet20,kd,gaussian_noise,4,0.09040000289678574,0.5531957149505615,8.430869102478027,1.355911374092102,0.3287000060081482,2.157728433609009,0.3036876320838928
student_resnet20_kd_ce05,resnet20,kd,gaussian_noise,5,0.07940000295639038,0.554547905921936,9.04841423034668,1.3588087558746338,0.31360000371932983,2.166965961456299,0.29249805212020874
student_resnet20_kd_T8,resnet20,kd,gaussian_noise,5,0.0754999965429306,0.5495103597640991,8.616903305053711,1.3564321994781494,0.29919999837875366,2.1900322437286377,0.2783413231372833
student_resnet20_kd_ce05,resnet20,kd,shot_noise,1,0.45680001378059387,0.2778315842151642,2.8937275409698486,0.7885769009590149,0.5375999808311462,1.5384855270385742,0.32483166456222534
student_resnet20_kd_T8,resnet20,kd,shot_noise,1,0.44749999046325684,0.2744041681289673,2.890859603881836,0.7995455265045166,0.5408999919891357,1.411004662513733,0.3485003113746643
student_resnet20_kd_ce05,resnet20,kd,shot_noise,2,0.33379998803138733,0.3717799186706543,4.235167026519775,0.9863529205322266,0.4618000090122223,1.8421367406845093,0.3262629508972168
student_resnet20_kd_T8,resnet20,kd,shot_noise,2,0.31769999861717224,0.371864378452301,4.216032981872559,0.9985412359237671,0.4772999882698059,1.6601051092147827,0.36641839146614075
student_resnet20_kd_ce05,resnet20,kd,shot_noise,3,0.16329999268054962,0.5165778398513794,6.983011722564697,1.259958028793335,0.36410000920295715,2.166503429412842,0.31427493691444397
student_resnet20_kd_T8,resnet20,kd,shot_noise,3,0.1535000056028366,0.5173649787902832,6.875675201416016,1.2668637037277222,0.39660000801086426,1.9456511735916138,0.3583815097808838
student_resnet20_kd_ce05,resnet20,kd,shot_noise,4,0.1256999969482422,0.5474404096603394,7.874156951904297,1.3226263523101807,0.3483999967575073,2.2020723819732666,0.31124022603034973
student_resnet20_kd_T8,resnet20,kd,shot_noise,4,0.11590000241994858,0.5461301803588867,7.684781074523926,1.325944185256958,0.37139999866485596,2.038496255874634,0.34396490454673767
student_resnet20_kd_ce05,resnet20,kd,shot_noise,5,0.09359999746084213,0.556535005569458,8.781393051147461,1.3544042110443115,0.32120001316070557,2.2089593410491943,0.2957001328468323
student_resnet20_kd_T8,resnet20,kd,shot_noise,5,0.08739999681711197,0.5506247282028198,8.352156639099121,1.351070761680603,0.3257000148296356,2.150660514831543,0.3036920428276062
student_resnet20_kd_ce05,resnet20,kd,impulse_noise,1,0.5034000277519226,0.23324890434741974,2.4226720333099365,0.7152613997459412,0.542900025844574,1.607798457145691,0.2849064767360687
student_resnet20_kd_T8,resnet20,kd,impulse_noise,1,0.5113999843597412,0.2182246446609497,2.2968451976776123,0.6965326070785522,0.5447999835014343,1.4776314496994019,0.29099607467651367
student_resnet20_kd_ce05,resnet20,kd,impulse_noise,2,0.32739999890327454,0.34819746017456055,3.9365477561950684,0.9659258723258972,0.3952000141143799,2.236534357070923,0.2506925165653229
student_resnet20_kd_T8,resnet20,kd,impulse_noise,2,0.3409000039100647,0.31643402576446533,3.6302921772003174,0.9321714639663696,0.42579999566078186,1.9138476848602295,0.28070175647735596
student_resnet20_kd_ce05,resnet20,kd,impulse_noise,3,0.21130000054836273,0.43679705262184143,5.373116493225098,1.1406036615371704,0.3328999876976013,2.527237892150879,0.24960795044898987
student_resnet20_kd_T8,resnet20,kd,impulse_noise,3,0.2167000025510788,0.3967186212539673,4.9279303550720215,1.0995993614196777,0.335999995470047,2.201697587966919,0.25143754482269287
student_resnet20_kd_ce05,resnet20,kd,impulse_noise,4,0.10350000113248825,0.5226974487304688,7.588261127471924,1.3104099035263062,0.2870999872684479,2.660165309906006,0.2566080689430237
student_resnet20_kd_T8,resnet20,kd,impulse_noise,4,0.10480000078678131,0.4776759743690491,6.874231338500977,1.2562580108642578,0.23569999635219574,2.568497657775879,0.19875212013721466
student_resnet20_kd_ce05,resnet20,kd,impulse_noise,5,0.06610000133514404,0.5306357145309448,8.77157211303711,1.3429635763168335,0.2484000027179718,2.6742844581604004,0.2313513457775116
student_resnet20_kd_T8,resnet20,kd,impulse_noise,5,0.06440000236034393,0.5069882869720459,7.9895243644714355,1.3124598264694214,0.1931000053882599,2.8338913917541504,0.1728648692369461
student_resnet20_kd_ce05,resnet20,kd,defocus_blur,1,0.6983000040054321,0.12747687101364136,1.2368323802947998,0.4394306242465973,0.7296000123023987,0.8097394704818726,0.36894410848617554
student_resnet20_kd_T8,resnet20,kd,defocus_blur,1,0.6944000124931335,0.1329456865787506,1.2593352794647217,0.44666099548339844,0.7318000197410583,0.797432005405426,0.3821946084499359
student_resnet20_kd_ce05,resnet20,kd,defocus_blur,2,0.6626999974250793,0.14696314930915833,1.419601559638977,0.4854030907154083,0.6948000192642212,0.912146270275116,0.34513914585113525
student_resnet20_kd_T8,resnet20,kd,defocus_blur,2,0.6583999991416931,0.15346083045005798,1.4546425342559814,0.49481844902038574,0.7035999894142151,0.8866575360298157,0.375858336687088
student_resnet20_kd_ce05,resnet20,kd,defocus_blur,3,0.5756000280380249,0.19911637902259827,1.9459723234176636,0.6098949909210205,0.6244999766349792,1.1946614980697632,0.33161184191703796
student_resnet20_kd_T8,resnet20,kd,defocus_blur,3,0.5702999830245972,0.20499742031097412,1.9673503637313843,0.6183644533157349,0.6241000294685364,1.138641357421875,0.3397662341594696
student_resnet20_kd_ce05,resnet20,kd,defocus_blur,4,0.4779999852180481,0.2632455825805664,2.7566654682159424,0.7609200477600098,0.5533000230789185,1.47703218460083,0.32694289088249207
student_resnet20_kd_T8,resnet20,kd,defocus_blur,4,0.46399998664855957,0.27398353815078735,2.8285489082336426,0.7793887257575989,0.5516999959945679,1.4280794858932495,0.3419913351535797
student_resnet20_kd_ce05,resnet20,kd,defocus_blur,5,0.3215000033378601,0.37183278799057007,4.188021659851074,0.993919312953949,0.4643999934196472,1.7996066808700562,0.33620285987854004
student_resnet20_kd_T8,resnet20,kd,defocus_blur,5,0.3248000144958496,0.37135839462280273,4.129602909088135,0.990439772605896,0.46630001068115234,1.7450652122497559,0.3387071490287781
student_resnet20_kd_ce05,resnet20,kd,glass_blur,1,0.18880000710487366,0.5469954013824463,6.542121887207031,1.283640742301941,0.4528999924659729,2.1379735469818115,0.4082680642604828
student_resnet20_kd_T8,resnet20,kd,glass_blur,1,0.1704999953508377,0.5837697982788086,7.339807987213135,1.35042405128479,0.4717000126838684,2.163421392440796,0.44062137603759766
student_resnet20_kd_ce05,resnet20,kd,glass_blur,2,0.2020999938249588,0.5275732278823853,6.249597072601318,1.2533226013183594,0.4449999928474426,2.0972342491149902,0.3929542899131775
student_resnet20_kd_T8,resnet20,kd,glass_blur,2,0.18070000410079956,0.5636591911315918,6.948173999786377,1.3153270483016968,0.4607999920845032,2.0863664150238037,0.42313170433044434
