run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_kd_T1,resnet20,kd,clean,0,0.6880999803543091,0.05338774994015694,1.118843913078308,0.42347055673599243,0.7131999731063843,0.7504324913024902,0.3365384638309479
student_resnet20_kd_T2,resnet20,kd,clean,0,0.7062000036239624,0.12546958029270172,1.2618205547332764,0.43455350399017334,0.733299970626831,0.8690404295921326,0.3528428077697754
student_resnet20_kd_T1,resnet20,kd,gaussian_noise,1,0.3456999957561493,0.25328749418258667,3.214449405670166,0.8784654140472412,0.4657999873161316,1.4969717264175415,0.3300987184047699
student_resnet20_kd_T2,resnet20,kd,gaussian_noise,1,0.3650999963283539,0.34891197085380554,3.8772804737091064,0.9330890774726868,0.4779999852180481,1.8192625045776367,0.33193910121917725
student_resnet20_kd_T1,resnet20,kd,gaussian_noise,2,0.1949000060558319,0.3734706938266754,4.81639289855957,1.0896075963974,0.40880000591278076,1.6091312170028687,0.3552648723125458
student_resnet20_kd_T2,resnet20,kd,gaussian_noise,2,0.20509999990463257,0.49137449264526367,6.497365474700928,1.206714391708374,0.42640000581741333,2.068392515182495,0.3658600449562073
student_resnet20_kd_T1,resnet20,kd,gaussian_noise,3,0.12729999423027039,0.4225652813911438,6.05336856842041,1.1863900423049927,0.36070001125335693,1.739121437072754,0.32664555311203003
student_resnet20_kd_T2,resnet20,kd,gaussian_noise,3,0.12540000677108765,0.5633742213249207,8.57984733581543,1.3428922891616821,0.39570000767707825,2.2149953842163086,0.36430832743644714
student_resnet20_kd_T1,resnet20,kd,gaussian_noise,4,0.10639999806880951,0.4324794411659241,6.48184871673584,1.2098668813705444,0.32989999651908875,1.8342738151550293,0.30083343386650085
student_resnet20_kd_T2,resnet20,kd,gaussian_noise,4,0.10140000283718109,0.5809820890426636,9.33662223815918,1.3766191005706787,0.3767000138759613,2.284139633178711,0.3522091507911682
student_resnet20_kd_T1,resnet20,kd,gaussian_noise,5,0.09120000153779984,0.42972248792648315,6.807849407196045,1.2178492546081543,0.30149999260902405,1.9349138736724854,0.27689221501350403
student_resnet20_kd_T2,resnet20,kd,gaussian_noise,5,0.09009999781847,0.5802832841873169,9.787408828735352,1.3861849308013916,0.366100013256073,2.286097764968872,0.34410879015922546
student_resnet20_kd_T1,resnet20,kd,shot_noise,1,0.44350001215934753,0.18481522798538208,2.44795823097229,0.7428630590438843,0.5151000022888184,1.3591070175170898,0.312385231256485
student_resnet20_kd_T2,resnet20,kd,shot_noise,1,0.4763000011444092,0.26570144295692444,2.8646278381347656,0.7707663774490356,0.5350000262260437,1.6294844150543213,0.31442561745643616
student_resnet20_kd_T1,resnet20,kd,shot_noise,2,0.3337000012397766,0.2595769166946411,3.3771555423736572,0.898118257522583,0.45399999618530273,1.5364055633544922,0.3256152868270874
student_resnet20_kd_T2,resnet20,kd,shot_noise,2,0.34779998660087585,0.36689871549606323,4.164173603057861,0.9698485136032104,0.46790000796318054,1.9056925773620605,0.32852980494499207
student_resnet20_kd_T1,resnet20,kd,shot_noise,3,0.17599999904632568,0.3923773467540741,5.194156646728516,1.1247984170913696,0.39910000562667847,1.647847056388855,0.3522241711616516
student_resnet20_kd_T2,resnet20,kd,shot_noise,3,0.17339999973773956,0.5232634544372559,7.162994384765625,1.261934518814087,0.4171000123023987,2.134788751602173,0.3737119734287262
student_resnet20_kd_T1,resnet20,kd,shot_noise,4,0.13600000739097595,0.42709189653396606,5.819072246551514,1.1862412691116333,0.38679999113082886,1.70279860496521,0.3527389168739319
student_resnet20_kd_T2,resnet20,kd,shot_noise,4,0.13369999825954437,0.5592069029808044,8.225013732910156,1.330646276473999,0.40459999442100525,2.14901065826416,0.37265828251838684
student_resnet20_kd_T1,resnet20,kd,shot_noise,5,0.10019999742507935,0.44630616903305054,6.511292457580566,1.225766658782959,0.34529998898506165,1.8393465280532837,0.3215893805027008
student_resnet20_kd_T2,resnet20,kd,shot_noise,5,0.0982000008225441,0.5782858729362488,9.314324378967285,1.3775376081466675,0.38040000200271606,2.257246255874634,0.35884737968444824
student_resnet20_kd_T1,resnet20,kd,impulse_noise,1,0.5048999786376953,0.1050577312707901,1.9661287069320679,0.6475299596786499,0.5127999782562256,1.3752809762954712,0.2507612109184265
student_resnet20_kd_T2,resnet20,kd,impulse_noise,1,0.5130000114440918,0.22808784246444702,2.3749091625213623,0.7010345458984375,0.5418000221252441,1.623498797416687,0.2805567681789398
student_resnet20_kd_T1,resnet20,kd,impulse_noise,2,0.31470000743865967,0.21626780927181244,3.1298224925994873,0.8749285340309143,0.36629998683929443,1.9031352996826172,0.23114804923534393
student_resnet20_kd_T2,resnet20,kd,impulse_noise,2,0.33809998631477356,0.34004485607147217,3.79662823677063,0.9503439664840698,0.40059998631477356,2.177441358566284,0.25469374656677246
student_resnet20_kd_T1,resnet20,kd,impulse_noise,3,0.20250000059604645,0.28890296816825867,4.24063777923584,1.018599271774292,0.29420000314712524,2.1517233848571777,0.2161526381969452
student_resnet20_kd_T2,resnet20,kd,impulse_noise,3,0.22370000183582306,0.41927316784858704,5.150722503662109,1.1156771183013916,0.3278000056743622,2.4945476055145264,0.24294301867485046
