run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_augmixT,resnet20,dkd,clean,0,0.6955000162124634,0.06905844062566757,1.0929737091064453,0.4162863790988922,0.7283999919891357,0.6617738604545593,0.3723404109477997
student_resnet20_kd_augmixT,resnet20,kd,clean,0,0.6894999742507935,0.14297327399253845,1.2798423767089844,0.45191293954849243,0.7106000185012817,0.9052413105964661,0.33019641041755676
teacher_wrn40_2_augmix,wrn_40_2,none,clean,0,0.7555999755859375,0.10245290398597717,1.0018447637557983,0.3572124242782593,1.0,5.073833575508502e-10,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,gaussian_noise,1,0.4602999985218048,0.1708434671163559,2.4359450340270996,0.7261228561401367,0.525600016117096,1.3393023014068604,0.3183409571647644
student_resnet20_kd_augmixT,resnet20,kd,gaussian_noise,1,0.3961000144481659,0.3136388957500458,3.4116313457489014,0.8757423758506775,0.4571000039577484,2.17126202583313,0.2833288311958313
teacher_wrn40_2_augmix,wrn_40_2,none,gaussian_noise,1,0.6287000179290771,0.1568559855222702,1.669489860534668,0.5379697680473328,1.0,9.847420656683425e-10,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,gaussian_noise,2,0.2883000075817108,0.2943088114261627,3.8776397705078125,0.9561220407485962,0.38429999351501465,2.0082108974456787,0.27729347348213196
student_resnet20_kd_augmixT,resnet20,kd,gaussian_noise,2,0.23880000412464142,0.42695319652557373,5.305014610290527,1.1119414567947388,0.3172000050544739,3.1771812438964844,0.2320464849472046
teacher_wrn40_2_augmix,wrn_40_2,none,gaussian_noise,2,0.5181999802589417,0.20552226901054382,2.260007381439209,0.678475558757782,1.0,1.9319972288656118e-09,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,gaussian_noise,3,0.1876000016927719,0.3785252571105957,5.274197101593018,1.1099061965942383,0.29670000076293945,2.5679268836975098,0.23761530220508575
student_resnet20_kd_augmixT,resnet20,kd,gaussian_noise,3,0.15410000085830688,0.4913811683654785,6.7351813316345215,1.2414876222610474,0.24230000376701355,3.756054639816284,0.1961052268743515
teacher_wrn40_2_augmix,wrn_40_2,none,gaussian_noise,3,0.4146000146865845,0.25787991285324097,2.886282205581665,0.8126095533370972,1.0,1.9729393674339235e-09,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,gaussian_noise,4,0.14869999885559082,0.41890427470207214,5.950945854187012,1.1732819080352783,0.26260000467300415,2.8051435947418213,0.2195429503917694
student_resnet20_kd_augmixT,resnet20,kd,gaussian_noise,4,0.12280000001192093,0.5137878656387329,7.285029888153076,1.2848325967788696,0.22519999742507935,3.901087999343872,0.19401103258132935
teacher_wrn40_2_augmix,wrn_40_2,none,gaussian_noise,4,0.36550000309944153,0.2776908278465271,3.1982054710388184,0.8740568161010742,1.0,1.2457539444454824e-09,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,gaussian_noise,5,0.1251000016927719,0.4476248025894165,6.513913154602051,1.2199723720550537,0.23680000007152557,3.0012600421905518,0.1994369477033615
student_resnet20_kd_augmixT,resnet20,kd,gaussian_noise,5,0.10859999805688858,0.518143355846405,7.633224964141846,1.3050334453582764,0.21529999375343323,3.913485527038574,0.19054675102233887
teacher_wrn40_2_augmix,wrn_40_2,none,gaussian_noise,5,0.32510000467300415,0.298194944858551,3.4779043197631836,0.9216675758361816,1.0,1.518006831346952e-09,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,shot_noise,1,0.5551000237464905,0.11791423708200455,1.8359265327453613,0.6024351716041565,0.602400004863739,1.050824761390686,0.3292834758758545
student_resnet20_kd_augmixT,resnet20,kd,shot_noise,1,0.5022000074386597,0.24420712888240814,2.477599859237671,0.7190887928009033,0.5482000112533569,1.634451150894165,0.30280372500419617
teacher_wrn40_2_augmix,wrn_40_2,none,shot_noise,1,0.6790000200271606,0.13331536948680878,1.370732307434082,0.46388331055641174,1.0,1.7629412374375875e-09,1.0
student_resnet20_dkd_augmixT,resnet20,dkd,shot_noise,2,0.44530001282691956,0.18108507990837097,2.508639335632324,0.7401605844497681,0.5113999843597412,1.3937315940856934,0.30963242053985596
student_resnet20_kd_augmixT,resnet20,kd,shot_noise,2,0.3840999901294708,0.3215467035770416,3.4922406673431396,0.8898673057556152,0.4390999972820282,2.2436084747314453,0.26375100016593933
teacher_wrn40_2_augmix,wrn_40_2,none,shot_noise,2,0.6273000240325928,0.1527048945426941,1.6551181077957153,0.5339603424072266,1.0,1.1735433735893253e-09,1.0
