run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_augmixT_s1,resnet20,dkd,clean,0,0.7008000016212463,0.0654718354344368,1.0680696964263916,0.41083407402038574,0.7285000085830688,0.6549219489097595,0.3629296123981476
student_resnet20_kd_augmixT_s1,resnet20,kd,clean,0,0.6944000124931335,0.13769575953483582,1.2857670783996582,0.4493961036205292,0.7178999781608582,0.8999188542366028,0.34697216749191284
student_resnet20_kd_augmixT_s2,resnet20,kd,clean,0,0.6941999793052673,0.13981226086616516,1.272170901298523,0.45002079010009766,0.7179999947547913,0.9078574180603027,0.34942716360092163
student_resnet20_dkd_augmixT_s1,resnet20,dkd,gaussian_noise,1,0.4487999975681305,0.18075762689113617,2.461888313293457,0.7368254065513611,0.5139999985694885,1.3645210266113281,0.31483975052833557
student_resnet20_kd_augmixT_s1,resnet20,kd,gaussian_noise,1,0.39590001106262207,0.3211424946784973,3.496591091156006,0.8859772682189941,0.45249998569488525,2.244023561477661,0.27336385846138
student_resnet20_kd_augmixT_s2,resnet20,kd,gaussian_noise,1,0.3910999894142151,0.3261335790157318,3.538834810256958,0.89280104637146,0.4514999985694885,2.2586376667022705,0.2709399461746216
student_resnet20_dkd_augmixT_s1,resnet20,dkd,gaussian_noise,2,0.2854999899864197,0.2916112244129181,3.879436731338501,0.9579375982284546,0.37940001487731934,2.009377956390381,0.2760481536388397
student_resnet20_kd_augmixT_s1,resnet20,kd,gaussian_noise,2,0.23810000717639923,0.4444906413555145,5.431480407714844,1.1271523237228394,0.32100000977516174,3.2466506958007812,0.23889580368995667
student_resnet20_kd_augmixT_s2,resnet20,kd,gaussian_noise,2,0.22519999742507935,0.4513983726501465,5.653404235839844,1.147498369216919,0.3077999949455261,3.379718065261841,0.23308426141738892
student_resnet20_dkd_augmixT_s1,resnet20,dkd,gaussian_noise,3,0.18639999628067017,0.36526480317115784,5.140140533447266,1.0929957628250122,0.3046000003814697,2.466853380203247,0.25521010160446167
student_resnet20_kd_augmixT_s1,resnet20,kd,gaussian_noise,3,0.15469999611377716,0.5058432817459106,7.012730598449707,1.2565704584121704,0.25769999623298645,3.8486804962158203,0.2213870882987976
student_resnet20_kd_augmixT_s2,resnet20,kd,gaussian_noise,3,0.1404000073671341,0.5142792463302612,7.232068061828613,1.2741197347640991,0.23549999296665192,3.9768385887145996,0.20345063507556915
student_resnet20_dkd_augmixT_s1,resnet20,dkd,gaussian_noise,4,0.15279999375343323,0.39090079069137573,5.695460319519043,1.1416138410568237,0.2831999957561493,2.6118924617767334,0.24964539706707
student_resnet20_kd_augmixT_s1,resnet20,kd,gaussian_noise,4,0.12700000405311584,0.5271045565605164,7.6957502365112305,1.2975358963012695,0.2379000037908554,4.026027679443359,0.21355397999286652
student_resnet20_kd_augmixT_s2,resnet20,kd,gaussian_noise,4,0.11590000241994858,0.5316756963729858,7.819803237915039,1.30867600440979,0.22139999270439148,4.099790096282959,0.1965326964855194
