run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_augmixT_s2,resnet20,dkd,clean,0,0.6984000205993652,0.07025096565485,1.0873997211456299,0.4164651334285736,0.7281000018119812,0.6623132824897766,0.3694762587547302
student_resnet20_dkd_augmixT_s2,resnet20,dkd,gaussian_noise,1,0.45339998602867126,0.18360260128974915,2.450018882751465,0.7345772385597229,0.5202999711036682,1.3456683158874512,0.3183409571647644
student_resnet20_dkd_augmixT_s2,resnet20,dkd,gaussian_noise,2,0.28769999742507935,0.30059778690338135,3.979508876800537,0.9648705124855042,0.38370001316070557,2.0909831523895264,0.28040680289268494
student_resnet20_dkd_augmixT_s2,resnet20,dkd,gaussian_noise,3,0.18700000643730164,0.37908899784088135,5.354741096496582,1.1096317768096924,0.3061000108718872,2.6327788829803467,0.2598223388195038
student_resnet20_dkd_augmixT_s2,resnet20,dkd,gaussian_noise,4,0.15330000221729279,0.4042011797428131,5.931564807891846,1.1562050580978394,0.2840999960899353,2.8093972206115723,0.2505910098552704
student_resnet20_dkd_augmixT_s2,resnet20,dkd,gaussian_noise,5,0.1298000067472458,0.4208301305770874,6.396240711212158,1.1896564960479736,0.2635999917984009,2.9202466011047363,0.23559045791625977
student_resnet20_dkd_augmixT_s2,resnet20,dkd,shot_noise,1,0.5511999726295471,0.12741369009017944,1.8348658084869385,0.6057013869285583,0.6019999980926514,1.0580755472183228,0.3330218195915222
student_resnet20_dkd_augmixT_s2,resnet20,dkd,shot_noise,2,0.44369998574256897,0.18448184430599213,2.5414862632751465,0.7474619150161743,0.505299985408783,1.4320752620697021,0.2967534065246582
student_resnet20_dkd_augmixT_s2,resnet20,dkd,shot_noise,3,0.2587999999523163,0.32508692145347595,4.362810134887695,1.0115450620651245,0.35420000553131104,2.3170595169067383,0.2618953287601471
student_resnet20_dkd_augmixT_s2,resnet20,dkd,shot_noise,4,0.2012999951839447,0.3772314190864563,5.143186092376709,1.0997909307479858,0.3093999922275543,2.6657965183258057,0.2524518668651581
student_resnet20_dkd_augmixT_s2,resnet20,dkd,shot_noise,5,0.14470000565052032,0.4232766330242157,6.111571311950684,1.1842457056045532,0.26179999113082886,3.001473903656006,0.23236183822155
student_resnet20_dkd_augmixT_s2,resnet20,dkd,impulse_noise,1,0.579800009727478,0.1110401302576065,1.6519068479537964,0.5653738975524902,0.6165000200271606,1.0245338678359985,0.31593313813209534
student_resnet20_dkd_augmixT_s2,resnet20,dkd,impulse_noise,2,0.4553999900817871,0.15635819733142853,2.3334624767303467,0.7125707268714905,0.49230000376701355,1.5078489780426025,0.2543175518512726
student_resnet20_dkd_augmixT_s2,resnet20,dkd,impulse_noise,3,0.3474000096321106,0.2101793885231018,3.1119346618652344,0.8461273312568665,0.37940001487731934,2.0577874183654785,0.19795627892017365
student_resnet20_dkd_augmixT_s2,resnet20,dkd,impulse_noise,4,0.1931000053882599,0.2931952178478241,4.749020099639893,1.0349608659744263,0.23399999737739563,2.9192237854003906,0.15448592603206635
student_resnet20_dkd_augmixT_s2,resnet20,dkd,impulse_noise,5,0.11010000109672546,0.349076509475708,6.154150485992432,1.1352527141571045,0.15960000455379486,3.409571886062622,0.12224764376878738
student_resnet20_dkd_augmixT_s2,resnet20,dkd,defocus_blur,1,0.6941999793052673,0.07288394868373871,1.098375916481018,0.418834924697876,0.7250000238418579,0.6643857955932617,0.3662719428539276
student_resnet20_dkd_augmixT_s2,resnet20,dkd,defocus_blur,2,0.6823999881744385,0.07725084573030472,1.175417184829712,0.4398292601108551,0.7188000082969666,0.700657308101654,0.3749502897262573
