run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet8x4_dkd_nckd,resnet8x4,dkd,clean,0,0.7473999857902527,0.050523124635219574,0.9376382827758789,0.35632991790771484,0.6976209878921509,0.7782999873161316,0.5232402682304382,0.39761248230934143
student_resnet8x4_dkd_s1,resnet8x4,dkd,clean,0,0.7573000192642212,0.04718630760908127,0.9195801019668579,0.34462347626686096,0.792625904083252,0.7807999849319458,0.5322437882423401,0.3778696060180664
student_resnet8x4_dkd_s2,resnet8x4,dkd,clean,0,0.7512000203132629,0.05525343865156174,0.9173018336296082,0.34659090638160706,0.8010942339897156,0.7771000266075134,0.5446663498878479,0.38521578907966614
student_resnet8x4_dkd_tckd,resnet8x4,dkd,clean,0,0.6782000064849854,0.11306771636009216,1.2967079877853394,0.46099334955215454,0.7911799550056458,0.6955000162124634,1.1376842260360718,0.3209366500377655
student_resnet8x4_kd_s1,resnet8x4,kd,clean,0,0.7322999835014343,0.11170215904712677,1.1292740106582642,0.39476239681243896,0.8435732126235962,0.748199999332428,0.8098872900009155,0.3406795263290405
student_resnet8x4_kd_s2,resnet8x4,kd,clean,0,0.7354999780654907,0.11023013293743134,1.1087441444396973,0.3887467682361603,0.8457300662994385,0.7483000159263611,0.7934446334838867,0.33516988158226013
student_resnet8x4_dkd_nckd,resnet8x4,dkd,gaussian_noise,1,0.3610000014305115,0.10993711650371552,2.806504011154175,0.8094875812530518,0.46161454916000366,0.5001000165939331,1.1424075365066528,0.36803919076919556
student_resnet8x4_dkd_s1,resnet8x4,dkd,gaussian_noise,1,0.35679998993873596,0.23252321779727936,3.155005931854248,0.8726798892021179,0.5892805457115173,0.5022000074386597,1.2359777688980103,0.3714855909347534
student_resnet8x4_dkd_s2,resnet8x4,dkd,gaussian_noise,1,0.36660000681877136,0.26839679479599,3.2304975986480713,0.8908584713935852,0.6329434514045715,0.49399998784065247,1.3469136953353882,0.34445855021476746
student_resnet8x4_dkd_tckd,resnet8x4,dkd,gaussian_noise,1,0.2800000011920929,0.42489877343177795,5.125878810882568,1.0842764377593994,0.7048987746238708,0.38359999656677246,2.9448015689849854,0.2900417149066925
student_resnet8x4_kd_s1,resnet8x4,kd,gaussian_noise,1,0.3246999979019165,0.38568949699401855,4.168054103851318,1.0140103101730347,0.7103894352912903,0.4449999928474426,2.013369083404541,0.32124069333076477
student_resnet8x4_kd_s2,resnet8x4,kd,gaussian_noise,1,0.31859999895095825,0.40574750304222107,4.264631748199463,1.0397733449935913,0.7240137457847595,0.42080000042915344,2.2732937335968018,0.29058587551116943
