run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet8x4_dkd,resnet8x4,dkd,clean,0,0.7523000240325928,0.05410510301589966,0.9378909468650818,0.3501436710357666,0.801950991153717,0.777999997138977,0.5485973358154297,0.3833792507648468
student_resnet8x4_kd,resnet8x4,kd,clean,0,0.7286999821662903,0.11517667770385742,1.1307979822158813,0.3997991979122162,0.8438765406608582,0.7462999820709229,0.7991820573806763,0.33700641989707947
student_resnet8x4_kd_T1,resnet8x4,kd,clean,0,0.7168999910354614,0.0852607935667038,1.0508695840835571,0.39239364862442017,0.8020750880241394,0.7293000221252441,0.8090810775756836,0.3232323229312897
student_resnet8x4_scratch,resnet8x4,none,clean,0,0.7196999788284302,0.07441267371177673,1.042635440826416,0.391743540763855,0.7941126227378845,0.7350999712944031,0.7881978750228882,0.32828283309936523
teacher_resnet32x4,resnet32x4,none,clean,0,0.7821999788284302,0.08832782506942749,0.9207600355148315,0.3225010633468628,0.8705278038978577,1.0,2.831510859113706e-10,1.0
student_resnet8x4_dkd,resnet8x4,dkd,gaussian_noise,1,0.3601999878883362,0.2765619158744812,3.302241802215576,0.9041433334350586,0.6360445618629456,0.4794999957084656,1.4243892431259155,0.33557048439979553
student_resnet8x4_kd,resnet8x4,kd,gaussian_noise,1,0.3285999894142151,0.3907260000705719,4.0679545402526855,1.0121690034866333,0.7193260192871094,0.4542999863624573,1.9638123512268066,0.33176130056381226
student_resnet8x4_kd_T1,resnet8x4,kd,gaussian_noise,1,0.3188999891281128,0.337382972240448,3.7866125106811523,0.9682188630104065,0.6562830209732056,0.42879998683929443,1.9642964601516724,0.30799928307533264
student_resnet8x4_scratch,resnet8x4,none,gaussian_noise,1,0.36500000953674316,0.26213306188583374,3.1314356327056885,0.8665164113044739,0.6271330714225769,0.4408000111579895,1.72146737575531,0.2777072489261627
teacher_resnet32x4,resnet32x4,none,gaussian_noise,1,0.4487000107765198,0.28363561630249023,3.015756368637085,0.8133285641670227,0.73233562707901,1.0,3.370597412288845e-10,1.0
student_resnet8x4_dkd,resnet8x4,dkd,gaussian_noise,2,0.17499999701976776,0.49279725551605225,5.71703577041626,1.247902274131775,0.6677972674369812,0.45179998874664307,1.6915080547332764,0.42530137300491333
student_resnet8x4_kd,resnet8x4,kd,gaussian_noise,2,0.1607999950647354,0.5734953284263611,6.789186000823975,1.3334089517593384,0.7342953085899353,0.4447999894618988,2.151778221130371,0.43166735768318176
student_resnet8x4_kd_T1,resnet8x4,kd,gaussian_noise,2,0.15770000219345093,0.4805923402309418,6.048650741577148,1.2282042503356934,0.6382923126220703,0.41290000081062317,1.9993529319763184,0.3967221975326538
student_resnet8x4_scratch,resnet8x4,none,gaussian_noise,2,0.20839999616146088,0.35792991518974304,4.613633632659912,1.070398211479187,0.5663298964500427,0.3977000117301941,1.7954109907150269,0.34091833233833313
teacher_resnet32x4,resnet32x4,none,gaussian_noise,2,0.26170000433921814,0.46221083402633667,5.249229907989502,1.143390417098999,0.7239108085632324,1.0,1.3634504636428346e-09,1.0
student_resnet8x4_dkd,resnet8x4,dkd,gaussian_noise,3,0.09690000116825104,0.6022801399230957,7.336780548095703,1.4190263748168945,0.6991801857948303,0.4805000126361847,1.7127355337142944,0.488462895154953
student_resnet8x4_kd,resnet8x4,kd,gaussian_noise,3,0.09200000017881393,0.6716053485870361,8.43596363067627,1.4959299564361572,0.7636052966117859,0.4830999970436096,1.9877700805664062,0.49224942922592163
student_resnet8x4_kd_T1,resnet8x4,kd,gaussian_noise,3,0.09780000150203705,0.5122671127319336,7.304398536682129,1.3038634061813354,0.6099095940589905,0.4375999867916107,1.729612112045288,0.4399479329586029
student_resnet8x4_scratch,resnet8x4,none,gaussian_noise,3,0.13019999861717224,0.3905630111694336,5.593270778656006,1.1542134284973145,0.5207629799842834,0.36660000681877136,1.8331351280212402,0.34007808566093445
teacher_resnet32x4,resnet32x4,none,gaussian_noise,3,0.15489999949932098,0.5914987325668335,7.273425102233887,1.3656551837921143,0.7463988065719604,1.0,1.4239471823884742e-09,1.0
student_resnet8x4_dkd,resnet8x4,dkd,gaussian_noise,4,0.07760000228881836,0.6393024921417236,7.873795509338379,1.472732663154602,0.7169024348258972,0.5097000002861023,1.6726622581481934,0.5212403535842896
student_resnet8x4_kd,resnet8x4,kd,gaussian_noise,4,0.0746999979019165,0.7028478980064392,8.900959968566895,1.549026608467102,0.7773652076721191,0.5238000154495239,1.9054230451583862,0.5346433520317078
student_resnet8x4_kd_T1,resnet8x4,kd,gaussian_noise,4,0.07509999722242355,0.5115542411804199,7.605949878692627,1.314319372177124,0.5866543054580688,0.4478999972343445,1.61179780960083,0.45229440927505493
student_resnet8x4_scratch,resnet8x4,none,gaussian_noise,4,0.10570000112056732,0.3867548406124115,5.945849418640137,1.1681360006332397,0.4924548268318176,0.3450999855995178,1.932068943977356,0.324398010969162
teacher_resnet32x4,resnet32x4,none,gaussian_noise,4,0.11959999799728394,0.6380681991577148,8.124894142150879,1.4432501792907715,0.757668137550354,1.0,1.1074028360980037e-09,1.0
student_resnet8x4_dkd,resnet8x4,dkd,gaussian_noise,5,0.061900001019239426,0.6713993549346924,8.264365196228027,1.517702341079712,0.7331342697143555,0.5354999899864197,1.7091094255447388,0.5471968054771423
student_resnet8x4_kd,resnet8x4,kd,gaussian_noise,5,0.05959999933838844,0.7288817167282104,9.231773376464844,1.5877013206481934,0.7884817123413086,0.5486999750137329,1.9064171314239502,0.5598634481430054
student_resnet8x4_kd_T1,resnet8x4,kd,gaussian_noise,5,0.06629999727010727,0.500130295753479,7.758611679077148,1.309201717376709,0.5661735534667969,0.4523000121116638,1.5281482934951782,0.4533538818359375
student_resnet8x4_scratch,resnet8x4,none,gaussian_noise,5,0.08879999816417694,0.38434895873069763,6.2811808586120605,1.1778008937835693,0.473148912191391,0.295199990272522,2.116173028945923,0.2760215997695923
teacher_resnet32x4,resnet32x4,none,gaussian_noise,5,0.09210000187158585,0.6798873543739319,8.786480903625488,1.5082802772521973,0.7719717621803284,1.0,8.101161963480763e-10,1.0
student_resnet8x4_dkd,resnet8x4,dkd,shot_noise,1,0.5169000029563904,0.1471065878868103,2.1039795875549316,0.664086639881134,0.6605744957923889,0.5727999806404114,1.0792025327682495,0.3125581443309784
student_resnet8x4_kd,resnet8x4,kd,shot_noise,1,0.47269999980926514,0.2697879672050476,2.6845180988311768,0.778945803642273,0.7424879670143127,0.5302000045776367,1.6230995655059814,0.30000001192092896
student_resnet8x4_kd_T1,resnet8x4,kd,shot_noise,1,0.46970000863075256,0.21010082960128784,2.443516492843628,0.733005166053772,0.679800808429718,0.5160999894142151,1.5551987886428833,0.27418604493141174
student_resnet8x4_scratch,resnet8x4,none,shot_noise,1,0.4936999976634979,0.17650887370109558,2.2160725593566895,0.6906877160072327,0.6701154708862305,0.5223000049591064,1.4824894666671753,0.2593023180961609
teacher_resnet32x4,resnet32x4,none,shot_noise,1,0.5699999928474426,0.19344781339168549,2.0980100631713867,0.629207193851471,0.7634478211402893,1.0,8.1920345507136e-11,1.0
student_resnet8x4_dkd,resnet8x4,dkd,shot_noise,2,0.3416000008583069,0.2972871661186218,3.442005157470703,0.9323477745056152,0.6388871669769287,0.4702000021934509,1.4995198249816895,0.33421051502227783
student_resnet8x4_kd,resnet8x4,kd,shot_noise,2,0.30730000138282776,0.41886940598487854,4.408580780029297,1.0592843294143677,0.7261694073677063,0.4381999969482422,2.1616625785827637,0.32894736528396606
student_resnet8x4_kd_T1,resnet8x4,kd,shot_noise,2,0.29910001158714294,0.35148563981056213,3.919642925262451,0.9940197467803955,0.6505856513977051,0.41929998993873596,1.9673138856887817,0.31070175766944885
student_resnet8x4_scratch,resnet8x4,none,shot_noise,2,0.3549000024795532,0.2685398459434509,3.2288262844085693,0.8798107504844666,0.6234398484230042,0.43529999256134033,1.7815685272216797,0.28122806549072266
teacher_resnet32x4,resnet32x4,none,shot_noise,2,0.4300000071525574,0.2953610122203827,3.1796603202819824,0.8406916260719299,0.7253609895706177,1.0,1.3567357237675992e-09,1.0
student_resnet8x4_dkd,resnet8x4,dkd,shot_noise,3,0.14560000598430634,0.5385459065437317,6.229018688201904,1.3153564929962158,0.6841458082199097,0.4406999945640564,1.826209545135498,0.42572978138923645
student_resnet8x4_kd,resnet8x4,kd,shot_noise,3,0.13699999451637268,0.6214193105697632,7.537024021148682,1.409605860710144,0.7584192752838135,0.43790000677108765,2.3684422969818115,0.43270471692085266
student_resnet8x4_kd_T1,resnet8x4,kd,shot_noise,3,0.12919999659061432,0.5236765742301941,6.57468843460083,1.294715166091919,0.6525164246559143,0.42480000853538513,1.99790620803833,0.4228881299495697
