run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_s1,resnet20,dkd,clean,0,0.7016000151634216,0.08133307099342346,1.109816074371338,0.41841351985931396,0.7396000027656555,0.6484819650650024,0.38461539149284363
student_resnet20_kd_s1,resnet20,kd,clean,0,0.6922000050544739,0.1520271599292755,1.3317726850509644,0.4582119286060333,0.7231000065803528,0.8960012793540955,0.3578595221042633
student_resnet20_kd_s2,resnet20,kd,clean,0,0.6909000277519226,0.15393409132957458,1.3387436866760254,0.4589046239852905,0.7222999930381775,0.8969622850418091,0.36036789417266846
student_resnet20_scratch_s1,resnet20,none,clean,0,0.6906999945640564,0.05993707478046417,1.1171871423721313,0.42384228110313416,0.7110999822616577,0.7690059542655945,0.32817724347114563
student_resnet20_scratch_s2,resnet20,none,clean,0,0.6901000142097473,0.07079584151506424,1.1449857950210571,0.4284552335739136,0.7135000228881836,0.7732100486755371,0.3290133774280548
student_resnet20_dkd_s1,resnet20,dkd,gaussian_noise,1,0.36090001463890076,0.27362704277038574,3.350999593734741,0.8838262557983398,0.5174999833106995,1.2586393356323242,0.38564497232437134
student_resnet20_kd_s1,resnet20,kd,gaussian_noise,1,0.33880001306533813,0.3821170926094055,4.155432224273682,0.9835474491119385,0.4699000120162964,1.8420239686965942,0.33863142132759094
student_resnet20_kd_s2,resnet20,kd,gaussian_noise,1,0.32280001044273376,0.3983601927757263,4.402738094329834,1.0157020092010498,0.4553000032901764,1.9399340152740479,0.3285929262638092
student_resnet20_scratch_s1,resnet20,none,gaussian_noise,1,0.37139999866485596,0.22105449438095093,3.018033742904663,0.8324883580207825,0.44369998574256897,1.582824468612671,0.28040823340415955
student_resnet20_scratch_s2,resnet20,none,gaussian_noise,1,0.3391999900341034,0.26954925060272217,3.4245903491973877,0.8915960788726807,0.4410000145435333,1.6222538948059082,0.29596787691116333
student_resnet20_dkd_s1,resnet20,dkd,gaussian_noise,2,0.2011999934911728,0.4169416129589081,5.443770885467529,1.1378593444824219,0.4537999927997589,1.4156785011291504,0.40235447883605957
student_resnet20_kd_s1,resnet20,kd,gaussian_noise,2,0.18709999322891235,0.5094427466392517,6.580140590667725,1.2373961210250854,0.3968000113964081,2.059936285018921,0.3403531610965729
student_resnet20_kd_s2,resnet20,kd,gaussian_noise,2,0.16269999742507935,0.5486688613891602,7.186163902282715,1.2947007417678833,0.33739998936653137,2.4741384983062744,0.2801831364631653
student_resnet20_scratch_s1,resnet20,none,gaussian_noise,2,0.21709999442100525,0.3181477189064026,4.537536144256592,1.029314637184143,0.38850000500679016,1.6710880994796753,0.31720077991485596
student_resnet20_scratch_s2,resnet20,none,gaussian_noise,2,0.19290000200271606,0.400540828704834,5.348202228546143,1.1248695850372314,0.36890000104904175,1.8359273672103882,0.3050359785556793
student_resnet20_dkd_s1,resnet20,dkd,gaussian_noise,3,0.1168999969959259,0.5002083778381348,7.091274261474609,1.278351902961731,0.4196000099182129,1.544702410697937,0.393875390291214
student_resnet20_kd_s1,resnet20,kd,gaussian_noise,3,0.11680000275373459,0.57789546251297,8.427815437316895,1.3674362897872925,0.3781999945640564,2.1281542778015137,0.3464742600917816
student_resnet20_kd_s2,resnet20,kd,gaussian_noise,3,0.09030000120401382,0.639912486076355,9.394693374633789,1.4556102752685547,0.25760000944137573,3.0340776443481445,0.22503812611103058
student_resnet20_scratch_s1,resnet20,none,gaussian_noise,3,0.12960000336170197,0.3846767842769623,5.835400581359863,1.1492890119552612,0.36320000886917114,1.6926995515823364,0.3292267918586731
student_resnet20_scratch_s2,resnet20,none,gaussian_noise,3,0.11829999834299088,0.4747582972049713,6.880856037139893,1.248043417930603,0.3675000071525574,1.8497878313064575,0.3404904305934906
student_resnet20_dkd_s1,resnet20,dkd,gaussian_noise,4,0.0925000011920929,0.5289822816848755,7.724642753601074,1.324698805809021,0.38510000705718994,1.6223812103271484,0.3668226897716522
student_resnet20_kd_s1,resnet20,kd,gaussian_noise,4,0.08980000019073486,0.6071547865867615,9.177967071533203,1.4129072427749634,0.3666999936103821,2.153580665588379,0.3476424217224121
student_resnet20_kd_s2,resnet20,kd,gaussian_noise,4,0.06750000268220901,0.6726762652397156,10.20587158203125,1.508838176727295,0.22190000116825104,3.268841505050659,0.1957986056804657
student_resnet20_scratch_s1,resnet20,none,gaussian_noise,4,0.10540000349283218,0.39827612042427063,6.3221306800842285,1.1793025732040405,0.3490000069141388,1.6774851083755493,0.32035619020462036
student_resnet20_scratch_s2,resnet20,none,gaussian_noise,4,0.09989999979734421,0.49350976943969727,7.463732719421387,1.282443642616272,0.3871000111103058,1.809462070465088,0.3684210479259491
student_resnet20_dkd_s1,resnet20,dkd,gaussian_noise,5,0.07429999858140945,0.5445911288261414,8.17138671875,1.3541746139526367,0.3653999865055084,1.70051908493042,0.35079702734947205
student_resnet20_kd_s1,resnet20,kd,gaussian_noise,5,0.0722000002861023,0.6231753826141357,9.701160430908203,1.442679524421692,0.37450000643730164,2.135014533996582,0.3620555102825165
student_resnet20_kd_s2,resnet20,kd,gaussian_noise,5,0.06109999865293503,0.6909389495849609,10.735250473022461,1.5388330221176147,0.20180000364780426,3.390519618988037,0.17846393585205078
student_resnet20_scratch_s1,resnet20,none,gaussian_noise,5,0.08839999884366989,0.4070575535297394,6.731808662414551,1.1997839212417603,0.33889999985694885,1.685209035873413,0.31702151894569397
student_resnet20_scratch_s2,resnet20,none,gaussian_noise,5,0.07989999651908875,0.5198642015457153,7.901599407196045,1.3163509368896484,0.41940000653266907,1.7699697017669678,0.41099098324775696
student_resnet20_dkd_s1,resnet20,dkd,shot_noise,1,0.47189998626708984,0.19913029670715332,2.4274137020111084,0.7274200320243835,0.5580000281333923,1.1369447708129883,0.3519689738750458
student_resnet20_kd_s1,resnet20,kd,shot_noise,1,0.45739999413490295,0.29658424854278564,3.0361504554748535,0.8086114525794983,0.5329999923706055,1.6180206537246704,0.32523974776268005
student_resnet20_kd_s2,resnet20,kd,shot_noise,1,0.43849998712539673,0.3180904984474182,3.214404582977295,0.8413485288619995,0.515500009059906,1.714861512184143,0.31728219985961914
